Index	Loss Function Used	Learning Rate	Dropout	Batch	Avg HMAE	StdDev HMAE	Avg HMSE	StdDev HMSE								
12	Huber	0.001	0	32	53.0%	5.1%	48.3%	10.3%								
28	Huber	0.001	0	64	41.7%	6.7%	29.0%	10.7%								
20	MSE	0.001	0	64	41.5%	6.7%	28.8%	10.7%								
44	Huber	0.001	0	128	47.3%	9.0%	38.6%	16.2%								
14	Huber	0.0001	0	32	51.8%	10.5%	47.1%	20.8%								
36	MSE	0.001	0	128	47.5%	8.8%	39.0%	16.1%								
25	LogCosh	0.001	0.2	64	50.1%	12.8%	44.2%	24.5%								
30	Huber	0.0001	0	64	53.8%	14.2%	51.9%	29.4%								
4	MSE	0.001	0	32	53.0%	5.0%	48.1%	10.0%								
6	MSE	0.0001	0	32	51.8%	10.4%	47.1%	20.7%								
46	Huber	0.0001	0	128	82.5%	76.7%	177.2%	401.0%						46.0%		
29	Huber	0.001	0.2	64	49.7%	13.1%	43.7%	25.9%						40.0%		
22	MSE	0.0001	0	64	53.6%	14.2%	51.6%	29.4%								
9	LogCosh	0.001	0.2	32	52.8%	7.2%	47.9%	14.0%								
32	MAE	0.001	0	128	37.1%	6.5%	23.1%	9.4%								
41	LogCosh	0.001	0.2	128	54.5%	16.6%	53.8%	39.0%								
11	LogCosh	0.0001	0.2	32	55.2%	11.9%	53.8%	24.8%								
13	Huber	0.001	0.2	32	51.9%	7.1%	46.3%	13.5%								
27	LogCosh	0.0001	0.2	64	58.0%	16.2%	60.9%	35.7%								
43	LogCosh	0.0001	0.2	128	111.4%	126.1%	378.3%	840.0%								
33	MAE	0.001	0.2	128	40.7%	7.6%	28.0%	11.1%								
17	MAE	0.001	0.2	64	42.2%	10.4%	31.3%	18.8%								
19	MAE	0.0001	0.2	64	46.1%	15.9%	38.9%	38.8%								
3	MAE	0.0001	0.2	32	47.4%	9.3%	38.6%	16.3%								
1	MAE	0.001	0.2	32	53.7%	7.4%	49.7%	14.6%								
15	Huber	0.0001	0.2	32	54.8%	12.1%	53.2%	25.5%								
16	MAE	0.001	0	64	48.7%	10.8%	42.3%	20.9%								
0	MAE	0.001	0	32	56.0%	7.8%	54.3%	16.0%								
38	MSE	0.0001	0	128	82.6%	76.6%	177.2%	400.9%								
34	MAE	0.0001	0	128	42.9%	7.6%	31.5%	11.8%								
18	MAE	0.0001	0	64	43.2%	8.8%	32.2%	15.7%								
24	LogCosh	0.001	0	64	42.2%	7.8%	30.1%	12.8%								
35	MAE	0.0001	0.2	128	88.0%	125.1%	311.5%	924.7%								
21	MSE	0.001	0.2	64	49.3%	13.0%	43.1%	25.7%								
5	MSE	0.001	0.2	32	51.9%	6.9%	46.3%	13.3%								
31	Huber	0.0001	0.2	64	58.0%	16.9%	61.4%	37.9%								
7	MSE	0.0001	0.2	32	54.8%	12.1%	53.2%	25.4%								
23	MSE	0.0001	0.2	64	57.9%	16.9%	61.1%	37.9%								
45	Huber	0.001	0.2	128	59.5%	28.6%	70.7%	88.5%								
2	MAE	0.0001	0	32	49.0%	9.3%	41.7%	16.8%								
40	LogCosh	0.001	0	128	47.1%	8.4%	38.0%	15.3%								
10	LogCosh	0.0001	0	32	52.4%	10.5%	48.2%	20.9%								
8	LogCosh	0.001	0	32	53.6%	4.8%	49.4%	9.9%								
37	MSE	0.001	0.2	128	59.6%	28.5%	70.8%	88.0%								
26	LogCosh	0.0001	0	64	54.0%	13.9%	52.1%	28.2%								
47	Huber	0.0001	0.2	128	116.0%	131.4%	410.2%	905.4%								
42	LogCosh	0.0001	0	128	78.2%	71.6%	157.1%	360.2%								
39	MSE	0.0001	0.2	128	116.1%	131.3%	410.3%	905.4%								
